,Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h),9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind speed (km/h),3pm MSL pressure (hPa),avg_demand
146,2/08/2021,6.5,15.4,0.0,2.8,9.1,50.0,10.2,67.0,1.0,15,1016.2,15.2,43,3.0,24,1011.5,5250.344791666666
147,3/08/2021,8.7,14.5,4.8,2.6,4.1,35.0,10.6,77.0,2.0,9,1008.1,13.3,53,6.0,15,1007.7,5532.3983333333335
148,4/08/2021,7.8,14.5,0.6,1.8,3.4,31.0,10.2,78.0,7.0,11,1016.0,14.3,67,7.0,9,1015.5,5487.164791666667
149,5/08/2021,9.8,15.8,0.4,1.6,3.9,31.0,11.8,80.0,7.0,11,1021.7,15.2,63,7.0,15,1020.1,5333.057083333335
150,6/08/2021,10.7,14.2,0.2,2.2,0.6,28.0,12.1,74.0,7.0,9,1024.5,13.9,60,8.0,13,1023.1,5422.447916666665
151,7/08/2021,10.5,15.5,0.0,1.6,2.4,30.0,11.2,75.0,7.0,11,1026.9,13.2,75,7.0,11,1026.4,4969.637083333332
152,8/08/2021,5.8,16.4,0.6,1.2,5.5,17.0,7.2,100.0,1.0,11,1032.6,14.6,58,7.0,6,1029.3,4804.170833333334
153,9/08/2021,7.1,16.4,0.0,2.8,2.7,30.0,9.1,82.0,7.0,9,1028.1,15.1,60,6.0,19,1023.3,5396.763958333334
154,10/08/2021,9.1,17.7,0.0,2.4,8.1,52.0,12.4,77.0,6.0,19,1022.4,17.5,45,6.0,24,1017.9,4906.517083333333
155,11/08/2021,12.4,19.2,0.0,7.0,3.6,54.0,14.4,47.0,5.0,28,1012.2,16.7,44,8.0,17,1009.8,5126.830833333334
156,12/08/2021,8.1,16.6,2.8,4.4,4.7,31.0,10.6,71.0,7.0,11,1025.2,15.4,50,7.0,13,1024.3,5249.4575
157,13/08/2021,8.1,17.6,0.0,1.2,10.1,33.0,11.8,73.0,1.0,15,1026.9,17.1,44,3.0,9,1025.1,5091.876875000001
158,14/08/2021,6.9,18.4,0.0,3.4,7.8,31.0,10.9,78.0,1.0,11,1028.7,17.3,41,6.0,13,1025.1,4670.431666666667
159,16/08/2021,11.0,14.4,0.2,6.6,2.8,44.0,12.2,70.0,7.0,13,1022.8,14.2,62,7.0,17,1022.8,5074.598333333332
160,18/08/2021,7.6,15.5,0.6,1.8,1.8,24.0,10.4,82.0,7.0,9,1026.0,15.1,53,7.0,13,1021.9,5428.468750000003
161,19/08/2021,8.2,17.4,0.0,2.6,8.3,31.0,11.6,72.0,5.0,13,1023.3,16.7,50,2.0,17,1019.3,5033.845416666666
162,20/08/2021,8.7,17.3,0.8,3.6,3.2,50.0,11.3,80.0,6.0,11,1016.7,16.7,51,3.0,28,1012.1,5236.631875
163,23/08/2021,10.8,14.3,0.8,7.0,5.4,50.0,11.2,67.0,3.0,11,1011.1,11.7,54,5.0,9,1012.2,4997.148958333333
164,24/08/2021,6.4,13.1,10.4,4.0,6.2,39.0,10.8,53.0,7.0,17,1021.5,11.7,55,6.0,17,1021.6,5230.835416666666
165,25/08/2021,8.0,14.1,2.2,1.2,5.4,37.0,12.1,73.0,3.0,15,1023.3,13.4,59,6.0,17,1021.8,5263.187916666667
166,26/08/2021,5.5,12.9,1.2,2.4,1.0,31.0,9.2,82.0,7.0,Calm,1022.7,12.2,55,7.0,13,1020.3,5626.953125
167,27/08/2021,4.6,13.6,0.0,1.2,3.8,15.0,7.7,88.0,7.0,Calm,1020.0,12.8,65,7.0,7,1017.4,5590.014583333334
168,28/08/2021,5.3,17.8,0.0,1.6,9.6,39.0,9.1,80.0,1.0,7,1018.6,17.4,31,3.0,24,1013.5,4345.672291666667
169,29/08/2021,9.1,16.2,0.6,6.4,4.3,33.0,10.6,79.0,7.0,13,1011.4,12.8,84,7.0,6,1010.4,4679.964583333333
